iter	Passed	Remaining
145	330	1930
146	331	1922
147	332	1913
148	333	1905
149	334	1896
150	335	1886
151	336	1876
152	337	1866
153	338	1857
154	339	1848
155	339	1838
156	340	1828
157	341	1818
158	342	1810
159	343	1804
160	344	1795
161	345	1787
162	346	1778
163	347	1771
164	348	1762
165	349	1753
166	349	1744
167	350	1736
168	351	1727
169	352	1720
170	353	1712
171	353	1703
172	354	1695
173	356	1690
174	357	1684
175	358	1677
176	359	1670
177	360	1664
178	361	1656
179	361	1648
180	362	1640
181	363	1633
182	364	1625
183	365	1621
184	366	1614
185	367	1608
186	368	1603
187	370	1598
188	371	1593
189	372	1588
190	373	1581
191	374	1576
192	375	1569
193	376	1562
194	376	1555
195	377	1548
196	378	1542
197	379	1536
198	380	1532
199	381	1527
200	382	1522
201	384	1517
202	385	1511
203	385	1506
204	386	1500
205	387	1495
206	389	1490
207	389	1484
208	390	1478
209	391	1473
210	393	1469
211	394	1465
212	395	1461
213	396	1456
214	397	1451
215	398	1446
216	399	1441
217	400	1437
218	401	1433
219	402	1428
220	404	1425
221	406	1422
222	407	1419
223	408	1416
224	410	1412
225	411	1407
226	412	1403
227	413	1398
228	414	1394
229	415	1389
230	416	1386
231	417	1383
232	419	1381
233	420	1377
234	422	1374
235	423	1371
236	424	1368
237	426	1364
238	427	1360
239	428	1357
240	430	1354
241	431	1352
242	433	1349
243	434	1346
244	435	1342
245	437	1339
246	438	1335
247	439	1332
248	440	1328
249	442	1326
250	443	1323
251	445	1321
252	446	1318
253	447	1315
254	449	1312
255	450	1308
256	451	1305
257	453	1303
258	454	1300
259	456	1298
260	457	1295
261	459	1293
262	460	1291
263	462	1289
264	463	1285
265	464	1282
266	465	1279
267	467	1276
268	468	1274
269	470	1271
270	471	1269
271	473	1267
272	474	1264
273	475	1260
274	477	1257
275	478	1255
276	480	1252
277	481	1250
278	483	1248
279	484	1245
280	485	1243
281	487	1240
282	488	1236
283	489	1234
284	490	1231
285	491	1227
286	493	1225
287	495	1224
288	496	1222
289	497	1219
290	499	1216
291	500	1213
292	501	1210
293	502	1207
294	503	1203
295	505	1201
296	506	1199
297	507	1196
298	509	1193
299	510	1191
300	511	1188
301	512	1185
302	513	1181
303	514	1178
304	516	1176
305	518	1175
306	520	1173
307	521	1172
308	523	1169
309	524	1166
310	525	1163
311	526	1160
312	527	1158
313	528	1155
314	530	1153
315	531	1151
316	533	1149
317	534	1146
318	536	1144
319	537	1141
320	538	1139
321	539	1136
322	540	1133
323	541	1130
324	543	1129
325	545	1127
326	546	1124
327	547	1122
328	548	1119
329	550	1117
330	551	1114
331	552	1111
332	553	1108
333	554	1106
334	556	1104
335	558	1102
336	559	1100
337	560	1098
338	562	1096
339	563	1093
340	564	1091
341	565	1088
342	566	1085
343	568	1083
344	569	1081
345	571	1079
346	572	1077
347	573	1074
348	574	1071
349	575	1068
350	576	1066
351	577	1063
352	578	1060
353	580	1058
354	581	1056
355	583	1055
356	584	1053
357	586	1051
358	587	1049
359	588	1046
360	589	1043
361	590	1041
362	591	1038
363	593	1037
364	595	1035
365	596	1033
366	597	1031
367	598	1028
368	600	1026
369	601	1024
370	602	1022
371	603	1019
372	605	1017
373	606	1015
374	608	1013
375	609	1011
376	611	1009
377	612	1007
378	613	1004
379	614	1002
380	615	1000
381	616	997
382	618	995
383	619	994
384	621	992
385	622	990
386	623	987
387	624	985
388	625	982
389	626	980
390	627	978
391	629	975
392	630	973
393	632	972
394	633	970
395	635	968
396	636	966
397	637	963
398	638	961
399	639	959
400	640	957
401	641	954
402	643	952
403	644	951
404	646	949
405	647	947
406	648	945
407	649	942
408	650	940
409	652	938
410	653	936
411	654	933
412	655	931
413	657	930
414	658	928
415	659	926
416	660	924
417	662	921
418	663	919
419	664	917
420	665	914
421	666	912
422	667	910
423	668	908
424	670	907
425	672	905
426	673	903
427	674	901
428	675	899
429	676	897
430	678	895
431	679	893
432	680	890
433	681	888
434	683	887
435	684	885
436	686	883
437	687	882
438	688	879
439	689	877
440	690	875
441	691	873
442	692	870
443	693	869
444	695	867
445	696	865
446	698	863
447	699	861
448	700	859
449	701	857
450	702	855
451	704	853
452	705	851
453	706	849
454	707	847
455	709	846
456	710	844
457	711	842
458	713	840
459	714	839
460	716	837
461	717	835
462	719	834
463	720	832
464	722	830
465	723	828
466	724	826
